song,artist,album_name,album_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,id,uri,uri,track_href,time_signature,song,artist,album_name,album_id,duration_ms,duration_ms,explicit,popularity
Coral,Mwuah,Coral,7hIWp2pPbMvTSQw7btmWWz,0.68,0.541,4.0,-6.911,0.0,0.066,0.279,0.949,0.0995,0.0951,85.041,55RpiZ4sQaEEbcGAOukL3S,55RpiZ4sQaEEbcGAOukL3S,spotify:track:55RpiZ4sQaEEbcGAOukL3S,spotify:track:55RpiZ4sQaEEbcGAOukL3S,https://api.spotify.com/v1/tracks/55RpiZ4sQaEEbcGAOukL3S,4.0,Coral,Mwuah,Coral,7hIWp2pPbMvTSQw7btmWWz,153522.0,153522,False,38
Hesitations - Acoustic,LRN Slime,17,7jnbLDJi3YQbUY5a45AkdT,0.906,0.242,0.0,-10.634,0.0,0.0938,0.836,0.00381,0.0996,0.429,125.006,2ssA3XhNmqLz1qeORv6Z0N,2ssA3XhNmqLz1qeORv6Z0N,spotify:track:2ssA3XhNmqLz1qeORv6Z0N,spotify:track:2ssA3XhNmqLz1qeORv6Z0N,https://api.spotify.com/v1/tracks/2ssA3XhNmqLz1qeORv6Z0N,4.0,Hesitations - Acoustic,LRN Slime,17,7jnbLDJi3YQbUY5a45AkdT,239141.0,239140,False,65
IV,CORBAAL,IV,7ssltlJkOAQ0NwPN6E1OnW,0.618,0.574,5.0,-10.419,1.0,0.0339,0.51,0.971,0.149,0.229,120.003,1Iy3KjD8wMLTjAlF7j2KAN,1Iy3KjD8wMLTjAlF7j2KAN,spotify:track:1Iy3KjD8wMLTjAlF7j2KAN,spotify:track:1Iy3KjD8wMLTjAlF7j2KAN,https://api.spotify.com/v1/tracks/1Iy3KjD8wMLTjAlF7j2KAN,4.0,IV,CORBAAL,IV,7ssltlJkOAQ0NwPN6E1OnW,262000.0,262000,False,23
Love Again,itssvd,Missing,23HhTqTaQNZ22OhnRtgrLu,0.643,0.417,4.0,-10.155,1.0,0.186,0.809,0.0147,0.168,0.355,94.435,6ncsVXsY8FaxpK5yg1eMHI,6ncsVXsY8FaxpK5yg1eMHI,spotify:track:6ncsVXsY8FaxpK5yg1eMHI,spotify:track:6ncsVXsY8FaxpK5yg1eMHI,https://api.spotify.com/v1/tracks/6ncsVXsY8FaxpK5yg1eMHI,4.0,Love Again,itssvd,Missing,23HhTqTaQNZ22OhnRtgrLu,89340.0,89340,False,64
Corazon Cobarde,Ramon Ayala,Por Que?,3O79AymlHGbViszaCS4Qji,0.818,0.214,8.0,-16.241,1.0,0.099,0.0428,0.0,0.351,0.868,116.321,2d9DElndQokM3uxGXotpkd,2d9DElndQokM3uxGXotpkd,spotify:track:2d9DElndQokM3uxGXotpkd,spotify:track:2d9DElndQokM3uxGXotpkd,https://api.spotify.com/v1/tracks/2d9DElndQokM3uxGXotpkd,4.0,Corazon Cobarde,Ramon Ayala,Por Que?,3O79AymlHGbViszaCS4Qji,127453.0,127453,False,30
Imagination,CORBAL,Imagination,4Mm3zqe5BaCECuV8spp9ZG,0.814,0.0987,7.0,-22.009,1.0,0.038,0.702,0.872,0.114,0.872,109.975,5bttUhX2smfy7urwlidPfG,5bttUhX2smfy7urwlidPfG,spotify:track:5bttUhX2smfy7urwlidPfG,spotify:track:5bttUhX2smfy7urwlidPfG,https://api.spotify.com/v1/tracks/5bttUhX2smfy7urwlidPfG,5.0,Imagination,CORBAL,Imagination,4Mm3zqe5BaCECuV8spp9ZG,104784.0,104783,False,62
La Cumbia Del Corcobao,Aniceto Molina,Más Sabroso Que Nunca,3EZB7Qg9QGkXa7bnSwObjV,0.645,0.678,7.0,-6.407,0.0,0.0627,0.133,0.0,0.284,0.96,201.07,7sN9gTw1Acw6gbZEzUEN4u,7sN9gTw1Acw6gbZEzUEN4u,spotify:track:7sN9gTw1Acw6gbZEzUEN4u,spotify:track:7sN9gTw1Acw6gbZEzUEN4u,https://api.spotify.com/v1/tracks/7sN9gTw1Acw6gbZEzUEN4u,4.0,La Cumbia Del Corcobao,Aniceto Molina,Más Sabroso Que Nunca,3EZB7Qg9QGkXa7bnSwObjV,220227.0,220226,False,29
So Low,CPRCRN,So Low,6HCOoU2Gx2Ry1JQdCVYIsE,0.804,0.0853,0.0,-15.517,0.0,0.713,0.851,0.0,0.13,0.307,93.627,3fAoIdLPmPrwVu0Gop7TtD,3fAoIdLPmPrwVu0Gop7TtD,spotify:track:3fAoIdLPmPrwVu0Gop7TtD,spotify:track:3fAoIdLPmPrwVu0Gop7TtD,https://api.spotify.com/v1/tracks/3fAoIdLPmPrwVu0Gop7TtD,4.0,So Low,CPRCRN,So Low,6HCOoU2Gx2Ry1JQdCVYIsE,205845.0,205844,False,63
Coral,Nucleo Aka Tintasucia,La Fianza,0d32oRmKj6fu0DpZMRP9km,0.389,0.445,9.0,-10.199,0.0,0.0334,0.162,0.0,0.169,0.198,89.737,59Er2BCZDU9RbT4F11ogUn,59Er2BCZDU9RbT4F11ogUn,spotify:track:59Er2BCZDU9RbT4F11ogUn,spotify:track:59Er2BCZDU9RbT4F11ogUn,https://api.spotify.com/v1/tracks/59Er2BCZDU9RbT4F11ogUn,4.0,Coral,Nucleo Aka Tintasucia,La Fianza,0d32oRmKj6fu0DpZMRP9km,192060.0,192060,True,26
i'm lonely now,itssvd,tape for when i'm sad,1EeYJrmjXcqx5PCZWu6WV1,0.849,0.111,0.0,-23.248,0.0,0.046,0.606,0.00165,0.106,0.332,102.508,75HBk4yWNK20Q1TpSFSEGA,75HBk4yWNK20Q1TpSFSEGA,spotify:track:75HBk4yWNK20Q1TpSFSEGA,spotify:track:75HBk4yWNK20Q1TpSFSEGA,https://api.spotify.com/v1/tracks/75HBk4yWNK20Q1TpSFSEGA,4.0,i'm lonely now,itssvd,tape for when i'm sad,1EeYJrmjXcqx5PCZWu6WV1,93276.0,93276,False,61
