song,artist,album_name,album_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,id,uri,uri,track_href,time_signature,song,artist,album_name,album_id,duration_ms,duration_ms,explicit,popularity
Sky Walker (feat. Travis Scott),Miguel,War & Leisure,05LEST8E8mkEIl2LRfUkcI,0.674,0.506,6,-10.532,1,0.0434,0.173,0.0,0.0866,0.183,145.965,5WoaF1B5XIEnWfmb5NZikf,5WoaF1B5XIEnWfmb5NZikf,spotify:track:5WoaF1B5XIEnWfmb5NZikf,spotify:track:5WoaF1B5XIEnWfmb5NZikf,https://api.spotify.com/v1/tracks/5WoaF1B5XIEnWfmb5NZikf,4,Sky Walker (feat. Travis Scott),Miguel,War & Leisure,05LEST8E8mkEIl2LRfUkcI,259333,259333,True,72
Harem,Miguel,War & Leisure,05LEST8E8mkEIl2LRfUkcI,0.598,0.583,2,-8.549,0,0.054,0.465,1.35e-06,0.123,0.126,119.99,7JU0nyGvKLawxIQ1LYhJgy,7JU0nyGvKLawxIQ1LYhJgy,spotify:track:7JU0nyGvKLawxIQ1LYhJgy,spotify:track:7JU0nyGvKLawxIQ1LYhJgy,https://api.spotify.com/v1/tracks/7JU0nyGvKLawxIQ1LYhJgy,4,Harem,Miguel,War & Leisure,05LEST8E8mkEIl2LRfUkcI,193493,193493,False,43
How Many Drinks?,Miguel,Kaleidoscope Dream,21XMv0TCsnhWPt7MNVvkzD,0.379,0.608,0,-7.011,0,0.134,0.00311,0.000614,0.248,0.241,81.822,5ctk3VJoHoURSiwkCJn2bf,5ctk3VJoHoURSiwkCJn2bf,spotify:track:5ctk3VJoHoURSiwkCJn2bf,spotify:track:5ctk3VJoHoURSiwkCJn2bf,https://api.spotify.com/v1/tracks/5ctk3VJoHoURSiwkCJn2bf,4,How Many Drinks?,Miguel,Kaleidoscope Dream,21XMv0TCsnhWPt7MNVvkzD,272987,272986,True,64
Adorn,Miguel,Kaleidoscope Dream,0vlIws8YGMQAbMEkubJgAP,0.625,0.576,11,-5.693,0,0.175,0.0543,4.07e-05,0.187,0.235,179.063,3trS6e40JCVUOpPVt5OdHj,3trS6e40JCVUOpPVt5OdHj,spotify:track:3trS6e40JCVUOpPVt5OdHj,spotify:track:3trS6e40JCVUOpPVt5OdHj,https://api.spotify.com/v1/tracks/3trS6e40JCVUOpPVt5OdHj,4,Adorn,Miguel,Kaleidoscope Dream,0vlIws8YGMQAbMEkubJgAP,193147,193146,False,47
Caramelo Duro (feat. Kali Uchis),Miguel,War & Leisure,05LEST8E8mkEIl2LRfUkcI,0.624,0.726,2,-4.585,1,0.052,0.0298,0.0,0.301,0.83,99.996,3LcjZGk0GBlPRe5XhYVGgM,3LcjZGk0GBlPRe5XhYVGgM,spotify:track:3LcjZGk0GBlPRe5XhYVGgM,spotify:track:3LcjZGk0GBlPRe5XhYVGgM,https://api.spotify.com/v1/tracks/3LcjZGk0GBlPRe5XhYVGgM,4,Caramelo Duro (feat. Kali Uchis),Miguel,War & Leisure,05LEST8E8mkEIl2LRfUkcI,213720,213720,False,51
Simple Things,Miguel,Wildheart (Deluxe Version),6W8ZsoinSMViZMh9aYK7gQ,0.536,0.496,8,-6.452,1,0.0429,0.642,0.000802,0.119,0.234,80.925,2YEr07055St40kz0aUfm4f,2YEr07055St40kz0aUfm4f,spotify:track:2YEr07055St40kz0aUfm4f,spotify:track:2YEr07055St40kz0aUfm4f,https://api.spotify.com/v1/tracks/2YEr07055St40kz0aUfm4f,4,Simple Things,Miguel,Wildheart (Deluxe Version),6W8ZsoinSMViZMh9aYK7gQ,196027,196026,False,56
Sunbathe,Tainy,Sunbathe,51iFLZOIL5XRhy2MLe7bAA,0.704,0.56,6,-7.913,0,0.0598,0.0419,2.38e-06,0.109,0.479,88.048,6tPX67OuLWJc8XOH4dkDNE,6tPX67OuLWJc8XOH4dkDNE,spotify:track:6tPX67OuLWJc8XOH4dkDNE,spotify:track:6tPX67OuLWJc8XOH4dkDNE,https://api.spotify.com/v1/tracks/6tPX67OuLWJc8XOH4dkDNE,4,Sunbathe,Tainy,Sunbathe,51iFLZOIL5XRhy2MLe7bAA,170666,170666,False,48
Lotus Flower Bomb (feat. Miguel),Wale,Ambition,0jCVC8ndYYOooEY2YTO1l6,0.512,0.598,9,-4.959,0,0.115,0.611,0.0,0.0881,0.345,70.189,3MAgQuClHcAV8E9CbeBS6f,3MAgQuClHcAV8E9CbeBS6f,spotify:track:3MAgQuClHcAV8E9CbeBS6f,spotify:track:3MAgQuClHcAV8E9CbeBS6f,https://api.spotify.com/v1/tracks/3MAgQuClHcAV8E9CbeBS6f,4,Lotus Flower Bomb (feat. Miguel),Wale,Ambition,0jCVC8ndYYOooEY2YTO1l6,213253,213253,True,67
Kaleidoscope Dream,Miguel,Kaleidoscope Dream,21XMv0TCsnhWPt7MNVvkzD,0.645,0.481,0,-10.442,0,0.0579,0.00715,1.16e-05,0.0978,0.519,84.967,6iUFlR4E2dfY9RzqEuzSce,6iUFlR4E2dfY9RzqEuzSce,spotify:track:6iUFlR4E2dfY9RzqEuzSce,spotify:track:6iUFlR4E2dfY9RzqEuzSce,https://api.spotify.com/v1/tracks/6iUFlR4E2dfY9RzqEuzSce,4,Kaleidoscope Dream,Miguel,Kaleidoscope Dream,21XMv0TCsnhWPt7MNVvkzD,257027,257026,False,39
Come Through and Chill (feat. J. Cole & Salaam Remi),Miguel,War & Leisure,05LEST8E8mkEIl2LRfUkcI,0.461,0.653,6,-8.617,1,0.327,0.158,0.0,0.197,0.588,81.628,1m8WpLYXEiNVZchsWEcCSy,1m8WpLYXEiNVZchsWEcCSy,spotify:track:1m8WpLYXEiNVZchsWEcCSy,spotify:track:1m8WpLYXEiNVZchsWEcCSy,https://api.spotify.com/v1/tracks/1m8WpLYXEiNVZchsWEcCSy,1,Come Through and Chill (feat. J. Cole & Salaam Remi),Miguel,War & Leisure,05LEST8E8mkEIl2LRfUkcI,322000,322000,True,68
